,trackId,frame,xCenter,yCenter,heading,xVelocity,yVelocity,xAcceleration,yAcceleration,class
199,1,0,66.83842,-31.16456,83.83959,0.05298,1.62936,0.31747,0.0612,pedestrian
200,1,1,66.84076,-31.09914,83.73758,0.06527,1.6339,0.32436,0.05899,pedestrian
201,1,2,66.84356,-31.03347,83.60631,0.07786,1.63825,0.33156,0.05515,pedestrian
202,1,3,66.8469,-30.96739,83.44657,0.09075,1.64224,0.33907,0.0498,pedestrian
203,1,4,66.85083,-30.90143,83.25914,0.10394,1.64592,0.34688,0.04306,pedestrian
204,1,5,66.85524,-30.83517,83.04479,0.11744,1.64918,0.35498,0.03503,pedestrian
205,1,6,66.86002,-30.76867,82.80434,0.13135,1.65192,0.36335,0.02585,pedestrian
206,1,7,66.86535,-30.7019,82.53857,0.14568,1.65402,0.37192,0.01571,pedestrian
207,1,8,66.87119,-30.63511,82.24831,0.16047,1.65547,0.3806,0.00481,pedestrian
208,1,9,66.87782,-30.56851,81.93437,0.17565,1.65633,0.38933,-0.00669,pedestrian
209,1,10,66.88521,-30.50188,81.59758,0.19115,1.65658,0.39812,-0.01866,pedestrian
210,1,11,66.89309,-30.43549,81.23875,0.20704,1.6563,0.40694,-0.03102,pedestrian
211,1,12,66.90161,-30.36911,80.8591,0.22331,1.65546,0.41578,-0.04372,pedestrian
212,1,13,66.91079,-30.30278,80.4594,0.23998,1.65405,0.42461,-0.05672,pedestrian
213,1,14,66.92064,-30.23652,80.04045,0.25703,1.65206,0.4334,-0.06997,pedestrian
214,1,15,66.93119,-30.17035,79.60305,0.27446,1.64949,0.44213,-0.08343,pedestrian
215,1,16,66.94243,-30.10429,79.14798,0.29228,1.64631,0.45076,-0.09703,pedestrian
216,1,17,66.9544,-30.03836,78.67604,0.31048,1.64254,0.45927,-0.11075,pedestrian
217,1,18,66.9671,-29.9726,78.18801,0.32905,1.63815,0.46763,-0.12453,pedestrian
218,1,19,66.98055,-29.90703,77.68469,0.34799,1.63316,0.47582,-0.13832,pedestrian
219,1,20,66.99477,-29.84167,77.16688,0.3673,1.62756,0.48381,-0.15207,pedestrian
220,1,21,67.00976,-29.77654,76.63535,0.38695,1.62134,0.49157,-0.16575,pedestrian
221,1,22,67.02555,-29.71167,76.09091,0.40695,1.61452,0.49907,-0.1793,pedestrian
222,1,23,67.04214,-29.64709,75.53435,0.42729,1.6071,0.50629,-0.19267,pedestrian
223,1,24,67.05955,-29.58281,74.96645,0.44794,1.59909,0.51319,-0.20582,pedestrian
224,1,25,67.0778,-29.51886,74.38801,0.46891,1.59049,0.51976,-0.21871,pedestrian
225,1,26,67.09688,-29.45527,73.79982,0.49017,1.58132,0.52597,-0.23127,pedestrian
226,1,27,67.11683,-29.39206,73.20267,0.51172,1.57158,0.53178,-0.24348,pedestrian
227,1,28,67.13764,-29.32924,72.59736,0.53353,1.5613,0.53717,-0.25527,pedestrian
228,1,29,67.15932,-29.26684,71.98467,0.55559,1.55049,0.54212,-0.2666,pedestrian
229,1,30,67.18189,-29.20489,71.3654,0.57789,1.53917,0.54659,-0.27744,pedestrian
230,1,31,67.20536,-29.1434,70.74034,0.60039,1.52735,0.55057,-0.28771,pedestrian
231,1,32,67.22973,-29.08239,70.11028,0.62309,1.51506,0.55401,-0.29739,pedestrian
232,1,33,67.25502,-29.02188,69.47601,0.64597,1.50233,0.5569,-0.30643,pedestrian
233,1,34,67.28121,-28.96188,68.83833,0.66899,1.48918,0.55921,-0.31477,pedestrian
234,1,35,67.30834,-28.90242,68.19801,0.69213,1.47563,0.5609,-0.32237,pedestrian
235,1,36,67.33639,-28.8435,67.55587,0.71538,1.46172,0.56197,-0.32918,pedestrian
236,1,37,67.36537,-28.78515,66.91268,0.73871,1.44748,0.56236,-0.33515,pedestrian
237,1,38,67.39528,-28.72737,66.26925,0.76208,1.43294,0.56207,-0.34025,pedestrian
238,1,39,67.42649,-28.66996,65.6273,0.78534,1.41805,0.56111,-0.34438,pedestrian
239,1,40,67.45867,-28.61298,64.9877,0.80842,1.40279,0.55959,-0.3474,pedestrian
240,1,41,67.49154,-28.55672,64.35128,0.83142,1.38723,0.55757,-0.34916,pedestrian
241,1,42,67.52512,-28.50127,63.71884,0.85438,1.3715,0.55505,-0.34956,pedestrian
242,1,43,67.55939,-28.44671,63.09121,0.87737,1.35577,0.55194,-0.34854,pedestrian
243,1,44,67.59445,-28.39303,62.46916,0.90044,1.34019,0.54812,-0.34618,pedestrian
244,1,45,67.63022,-28.34022,61.85345,0.92363,1.32491,0.54339,-0.34258,pedestrian
245,1,46,67.66722,-28.28791,61.24483,0.94678,1.30993,0.5376,-0.3379,pedestrian
246,1,47,67.70514,-28.2361,60.64402,0.96985,1.29528,0.53061,-0.33226,pedestrian
247,1,48,67.74451,-28.18469,60.05169,0.99258,1.2809,0.52239,-0.32572,pedestrian
248,1,49,67.78485,-28.13364,59.46853,1.0149,1.26675,0.51301,-0.3183,pedestrian
249,1,50,67.82617,-28.08276,58.89516,1.03671,1.25272,0.50253,-0.30992,pedestrian
250,1,51,67.86821,-28.03245,58.33218,1.05804,1.23884,0.49105,-0.30042,pedestrian
251,1,52,67.91093,-27.98278,57.78017,1.0789,1.2252,0.47859,-0.28968,pedestrian
252,1,53,67.95453,-27.93391,57.23965,1.09925,1.21195,0.46516,-0.27762,pedestrian
253,1,54,67.99898,-27.8858,56.71113,1.11901,1.19924,0.45079,-0.26426,pedestrian
254,1,55,68.04427,-27.83844,56.19507,1.13813,1.18722,0.43552,-0.24967,pedestrian
255,1,56,68.09016,-27.79192,55.6919,1.15663,1.1761,0.41939,-0.23406,pedestrian
256,1,57,68.13674,-27.74609,55.20198,1.17449,1.16601,0.40238,-0.21769,pedestrian
257,1,58,68.18406,-27.70073,54.72566,1.19167,1.15701,0.38451,-0.20092,pedestrian
258,1,59,68.232,-27.65568,54.26323,1.20815,1.14912,0.36577,-0.1841,pedestrian
259,1,60,68.28064,-27.61077,53.81494,1.22386,1.14226,0.34615,-0.16753,pedestrian
260,1,61,68.32998,-27.56599,53.38098,1.23876,1.13638,0.32568,-0.15149,pedestrian
261,1,62,68.38014,-27.52112,52.96151,1.25269,1.13132,0.30443,-0.13618,pedestrian
262,1,63,68.43098,-27.47622,52.55664,1.26557,1.12697,0.28254,-0.12172,pedestrian
263,1,64,68.48239,-27.43129,52.16644,1.27736,1.12322,0.26017,-0.10813,pedestrian
264,1,65,68.53437,-27.38641,51.79093,1.28798,1.12,0.23752,-0.09544,pedestrian
265,1,66,68.58651,-27.34176,51.43006,1.29752,1.11732,0.21477,-0.08365,pedestrian
266,1,67,68.63905,-27.29708,51.08379,1.30596,1.11509,0.19207,-0.07276,pedestrian
